mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.026253819465637207,0.010370554366960171,0.0075894355773925785,0.0010847274008775147,0.1,0.01,"{'svr__C': 0.1, 'svr__epsilon': 0.01}",-12531.6061308467,-6680.328366637073,-5325.0536907016585,-9189.648576726506,-7538.674714907144,-5311.505062595865,-6895.897556578107,-6617.750690942049,-13464.272132152211,-7796.088624731559,-8135.082554681887,2667.122926698856,15,-7620.389371532527,-8270.685204799438,-8436.32059558134,-8022.5582655477765,-8181.393548924313,-8424.743987138074,-8241.990764745742,-8282.986844105639,-7542.4799853046825,-8166.758890780394,-8119.030745845992,292.5168904714298
0.024312281608581544,0.005353763170873658,0.008029460906982422,0.0015212571961304123,0.1,0.1,"{'svr__C': 0.1, 'svr__epsilon': 0.1}",-12531.842508918602,-6680.194239952929,-5325.1526523070015,-9187.647587096677,-7537.528927642814,-5311.202926849097,-6896.033319987627,-6617.839476608168,-13463.230170404806,-7796.088624731559,-8134.676043449928,2666.917801654866,13,-7620.559459170228,-8270.30709901953,-8436.48983309858,-8021.692024910724,-8180.61425479633,-8425.400255006514,-8242.948941212722,-8283.64893147679,-7542.534296802075,-8166.758890780394,-8119.095398627387,292.634416640073
0.02543320655822754,0.006352693627101846,0.006963920593261719,0.00028377489916049225,0.1,0.2,"{'svr__C': 0.1, 'svr__epsilon': 0.2}",-12532.749309308163,-6679.6353285879795,-5326.369480481284,-9183.012687714363,-7539.288404966632,-5311.283082718697,-6896.20779704118,-6618.062563402813,-13467.602482264187,-7796.186240769546,-8135.039737725485,2667.591050492176,14,-7621.186842178433,-8269.964744900377,-8438.563087193905,-8019.895760810827,-8182.048079987696,-8425.706033576856,-8244.685927223132,-8283.330155577216,-7543.940322908122,-8166.558299945838,-8119.58792543024,292.6341542830351
0.023318767547607422,0.0026310405771445087,0.00685882568359375,0.0004980035322832156,0.1,0.5,"{'svr__C': 0.1, 'svr__epsilon': 0.5}",-12533.634194357668,-6679.182532372777,-5327.968431539355,-9181.547538442275,-7544.965582581004,-5312.000338680037,-6898.112440072244,-6619.428900219059,-13479.987878838292,-7801.695652122239,-8137.852348922495,2669.574786396157,16,-7622.42290303367,-8269.900611606288,-8441.717896133687,-8019.883083684515,-8186.39657811133,-8430.639598811214,-8246.85644248594,-8280.226815141894,-7548.140073981544,-8171.194873844548,-8121.737887683463,292.55155190044127
0.023373341560363768,0.0015586231828734038,0.007094359397888184,0.0002455207497560378,1.0,0.01,"{'svr__C': 1, 'svr__epsilon': 0.01}",-10283.277755053654,-5607.123433800288,-3950.2948753528226,-7444.208716317994,-5801.593064252532,-3793.1330312228347,-5422.401712611966,-4710.031139279586,-10843.732631506964,-5878.087416636939,-6373.388377603558,2318.9984150267956,9,-5824.617983527489,-6237.296663056589,-6525.383512875788,-6223.433984036533,-6366.788820710469,-6547.157530436889,-6318.552369985894,-6467.31439050009,-5853.636533319681,-6332.566885476949,-6269.674867392637,239.0754168855771
0.02284550666809082,0.0009776290560883775,0.006909871101379394,0.00034157940269643984,1.0,0.1,"{'svr__C': 1, 'svr__epsilon': 0.1}",-10285.671437272207,-5605.570430015956,-3949.765845593517,-7440.952325152542,-5802.131418033135,-3793.4067892805233,-5423.399051216679,-4710.227304820095,-10846.05524951013,-5878.087416636939,-6373.526726753173,2319.707694542049,10,-5826.096565448192,-6238.056241325688,-6524.924111427084,-6221.675085680005,-6367.85379043173,-6549.16790619123,-6318.294916883476,-6466.296104417725,-5854.1355014133715,-6332.566885476949,-6269.906710869545,238.8775242516215
0.023125886917114258,0.0016047979779040171,0.0077236413955688475,0.0011009564887498428,1.0,0.2,"{'svr__C': 1, 'svr__epsilon': 0.2}",-10288.35008418171,-5603.805607624214,-3950.0271204373616,-7437.340045198642,-5804.127221406761,-3793.730922801707,-5424.707030493985,-4710.679179033453,-10850.983885214828,-5878.027674490061,-6374.177877088272,2320.8055128735537,11,-5827.7584342489745,-6238.7342181287395,-6525.367967639582,-6219.728015923384,-6369.862209744581,-6551.420994273011,-6318.531796538727,-6464.620731311521,-5856.052185823385,-6332.545846036394,-6270.462239966831,238.5289632765034
0.024265694618225097,0.0041219137095107345,0.007232069969177246,0.0005088780064074504,1.0,0.5,"{'svr__C': 1, 'svr__epsilon': 0.5}",-10296.50602491022,-5602.4553896540765,-3952.933360287049,-7430.602058513018,-5803.705574356237,-3793.55917122193,-5426.604429347809,-4707.317906519439,-10863.046478619084,-5882.557555239614,-6375.928794866848,2324.0400409024614,12,-5832.8640406513205,-6240.992443658246,-6529.11731515175,-6216.273126521527,-6370.13340822753,-6554.123419667433,-6318.089968367524,-6460.00101476697,-5860.381331785805,-6336.627473569406,-6271.860354236752,237.34269682204877
0.024384784698486327,0.0007918263635461968,0.0071694374084472655,0.00034764368550415563,10.0,0.01,"{'svr__C': 10, 'svr__epsilon': 0.01}",-4507.05250920624,-2703.7923029870653,-1593.7967762136707,-2748.820882155604,-1911.8372729229113,-1029.3738574535812,-2181.1446361307876,-1303.8894869698397,-3841.3575215208366,-1706.9675189378677,-2352.8032764498403,1058.555841753258,6,-1871.7017675383236,-2033.9091563148756,-2031.5434331681952,-2101.001536275593,-2114.5146273119108,-2079.4449397994076,-2023.0631689043942,-2091.221765929988,-2001.057227303441,-2149.732878988419,-2049.7190501534546,74.01769910391228
0.024924516677856445,0.0007129180137139544,0.007212042808532715,0.00021264775475293693,10.0,0.1,"{'svr__C': 10, 'svr__epsilon': 0.1}",-4509.558073355363,-2701.1709148855675,-1594.5378190204217,-2747.3032171304735,-1911.5439701619907,-1030.8386227057144,-2182.0813388656416,-1303.570639260509,-3841.0072203172826,-1706.106020677214,-2352.7717836380175,1058.7186458125059,5,-1872.6885187583066,-2033.2364290408198,-2031.6214646415062,-2100.5934786964035,-2113.9163531894656,-2079.860357870734,-2023.0001412050894,-2091.0142175803057,-2000.797225252515,-2149.7003927639016,-2049.642857899905,73.7331369135775
0.025008296966552733,0.0015138254002471211,0.007048606872558594,0.00023343136815373488,10.0,0.2,"{'svr__C': 10, 'svr__epsilon': 0.2}",-4512.413931176917,-2698.022321416879,-1594.990184589469,-2745.755921220472,-1911.595866817853,-1032.5167911383835,-2184.5147927016633,-1304.1329698948537,-3840.0848728043566,-1705.1553419436768,-2352.9182993704526,1058.729989236667,7,-1873.6871043393335,-2032.5472875755909,-2031.5616417485878,-2100.202912608683,-2113.4235523532957,-2080.3517617066414,-2023.0414756254665,-2091.2888436627973,-2000.3507117544962,-2149.673296053937,-2049.612858742883,73.50154141370315
0.027245616912841795,0.00698741709167264,0.007356500625610352,0.0002892646107959495,10.0,0.5,"{'svr__C': 10, 'svr__epsilon': 0.5}",-4519.777964633572,-2690.183781357934,-1593.5319160595116,-2740.6024391771653,-1912.473650239814,-1036.9933357639225,-2193.2476639995875,-1306.685849282944,-3838.7731296728107,-1702.8169175297403,-2353.5086647717003,1058.8737145664577,8,-1876.1860933410537,-2031.1269836926147,-2031.4702324293835,-2099.478553650319,-2111.4013937781006,-2081.7440122748276,-2025.2207341317314,-2092.7898772932235,-2001.095097710146,-2149.4297658627115,-2049.994274416411,72.70468418110366
0.041931438446044925,0.0023765451328062715,0.007265615463256836,0.00022286569440624663,100.0,0.01,"{'svr__C': 100, 'svr__epsilon': 0.01}",-1924.2269061174925,-1088.334293715114,-1216.602368238786,-1052.5746991290794,-1049.1925601427233,-815.3122701543881,-1165.400993239721,-1066.0472660957514,-1436.6589574379254,-893.7048807154387,-1170.805519498642,298.3542599641641,4,-651.6273266840773,-640.5199991236535,-634.0492189564493,-634.9634769285943,-603.932072776714,-662.1478128020055,-634.8260738504368,-645.8073253584006,-615.0972274557953,-639.1004478696898,-636.2070981805816,15.891051704045278
0.039622259140014646,0.0017690141328411634,0.007171487808227539,0.0005285667974716566,100.0,0.1,"{'svr__C': 100, 'svr__epsilon': 0.1}",-1923.7608386745337,-1087.9665196143496,-1216.028184532745,-1052.4220718819563,-1048.1413300216982,-815.6898101210404,-1165.370732649611,-1067.3017979880497,-1434.8733786310572,-893.3829136131468,-1170.4937577728188,298.0694776239705,3,-651.4805733933174,-640.0368496735823,-633.5298924743078,-634.6600797332807,-603.4529991297192,-661.617665770679,-634.6512785126108,-645.9215062986349,-614.874527736741,-639.1933720374981,-635.9418744760371,15.925193703705931
0.03886392116546631,0.002639898713794846,0.007148194313049317,0.0003053491452025056,100.0,0.2,"{'svr__C': 100, 'svr__epsilon': 0.2}",-1923.6162602911306,-1087.989332055836,-1215.2755918066453,-1051.67706788649,-1046.9100066181188,-816.3174617924748,-1165.3719073434042,-1068.681836433165,-1433.2389074758216,-892.7413290986449,-1170.181970080173,297.89418399677254,2,-651.3389411690421,-639.5031237555817,-633.1444667548794,-634.341267034965,-602.9385255892,-661.0576973843584,-634.4635432689288,-646.0400161249058,-614.5618743490392,-639.2051457417488,-635.659460117265,15.972723266335423
0.0343574047088623,0.006955801494632303,0.005923724174499512,0.001409005647770763,100.0,0.5,"{'svr__C': 100, 'svr__epsilon': 0.5}",-1923.231592630525,-1085.3824706967828,-1213.4245335240423,-1046.239995805213,-1043.9286534346809,-818.3905336122255,-1166.7867037401118,-1071.2485955862423,-1427.430861676287,-892.6292095819355,-1168.8693150288045,297.3546658474524,1,-650.9700632258256,-637.9466795278523,-632.0069468330998,-633.1312991277505,-601.1038527116735,-659.9755098573521,-634.0936418885844,-646.1605481616028,-613.8542369613282,-639.0323469231645,-634.8275125218233,16.240030975037893
